% How many iterations does it take for my approach to overtake?
iterations	baselinetime	mytime
0	0	65
100	20.50806048	77.87632563
200	41.02995259	90.79651529
300	61.57315347	103.7489901
400	82.14161903	116.7337391
500	102.7454406	129.7533967
600	123.3774595	142.8114074
700	144.0216919	155.8998152
800	164.6799751	169.0122828
900	185.3670211	182.1733561
1000	206.0890259	195.3672214
1100	226.8319096	208.6009438
1200	247.5948439	221.8641763
1300	268.3744524	235.1817857
1400	289.1862941	248.5258135
1500	310.0104778	261.9061058
1600	330.8453116	275.3192092
1700	351.7044075	288.7562114
1800	372.5912575	302.2314116
1900	393.4822312	315.7126263
2000	414.399317	329.2357231
2100	435.3506486	342.8027587
2200	456.2938224	356.3860294
2300	477.2445295	369.994541
2400	498.2124535	383.6227194
2500	519.2026118	397.2709335
2600	540.2043193	410.928133
2700	561.227872	424.6078753
2800	582.2609201	438.3061708
2900	603.3146632	452.0149756
3000	624.3813726	465.7470459
3100	645.4640425	479.4943557
3200	666.5661437	493.2533263
3300	687.6894584	507.0397112
3400	708.8356607	520.8382907
3500	729.9736197	534.6544258
3600	751.1139695	548.4594469
3700	772.2639687	562.2887259
3800	793.4141547	576.1291875
3900	814.5590171	589.9723596
4000	835.71206	603.8153008
4100	856.8648585	617.6411352
4200	878.0046528	631.4660143
4300	899.165636	645.2874326
4400	920.3206276	659.1031993
4500	941.4769211	672.934943
4600	962.6225519	686.7559072
4700	983.797571	700.5761107
4800	1004.984246	714.4079723
4900	1026.155327	728.2335301
5000	1047.304661	742.057902
5100	1068.454333	755.8896481
5200	1089.606237	769.7070913
5300	1110.753451	783.529242
5400	1131.904356	797.3582511
5500	1153.051309	811.185282
5600	1174.205731	825.0068116
5700	1195.350708	838.8343648
5800	1216.490461	852.6619642
5900	1237.639114	866.4756281
6000	1258.788854	880.3048838
6100	1279.949898	894.160475
6200	1301.097175	908.0029419
6300	1322.282994	921.8385895
6400	1343.498381	935.6720262
6500	1364.665308	949.4981504
6600	1385.811555	963.3498208
6700	1406.963011	977.2061205
6800	1428.11855	991.0509442
6900	1449.261812	1004.889322
7000	1470.409722	1018.716022
7100	1491.553753	1032.554893
7200	1512.698631	1046.376617
7300	1533.851587	1060.203623
7400	1554.992889	1074.044453
7500	1576.145265	1087.861432
7600	1597.334989	1101.68787
7700	1618.543278	1115.512689
7800	1639.717954	1129.336759
7900	1660.860086	1143.163795
8000	1682.002669	1156.995797
8100	1703.152311	1170.820951
8200	1724.293484	1184.649774
8300	1745.440842	1198.47159
8400	1766.580885	1212.304878
8500	1787.733332	1226.128853
8600	1808.877878	1239.947348
8700	1830.014997	1253.785249
8800	1851.156065	1267.631699
8900	1872.289573	1281.469091
9000	1893.438568	1295.316652
9100	1914.628109	1309.140661
9200	1935.804737	1322.972447
9300	1956.963047	1336.793342
9400	1978.109033	1350.620898
9500	1999.260362	1364.462361
9600	2020.406929	1378.285404
9700	2041.541955	1392.105056
9800	2062.686315	1405.928689
9900	2083.836122	1419.751992
10000	2104.980764	1433.586984
