% ./filter_seed_data.sh | head -n 10000 > average-failed-plants
% { echo 'totalseeds\tfailseeds' ; paste <(seq 0 9999) /tmp/average-failed-plants | sed -n '1~200p' ; } > ~/Documents/thesis/data-naac0012-failedseeds-over-seeds.tsv
totalseeds	failseeds
0	0
200	163.58
400	336.72
600	514.14
800	695.88
1000	878.68
1200	1064.72
1400	1252.04
1600	1441.34
1800	1632.66
2000	1825.08
2200	2018.2
2400	2212.38
2600	2406.34
2800	2601.32
3000	2796.34
3200	2992.3
3400	3188.42
3600	3384.82
3800	3581.92
4000	3778.56
4200	3975.34
4400	4172.6
4600	4370.38
4800	4568.2
5000	4765.82
5200	4963.82
5400	5161.82
5600	5359.98
5800	5558.32
6000	5756.78
6200	5955.14
6400	6153.38
6600	6351.84
6800	6550.58
7000	6749.3
7200	6948.22
7400	7147.02
7600	7330.48
7800	7474.38
8000	7610.34
8200	7737.08
8400	7858.68
8600	7975.58
8800	8090.82
9000	8206.2
9200	8315.62
9400	8425.2
9600	8536.3
9800	8647.78
