% naca0012 region sizes
regionsize	frequency
6	3.39
8	3.785
9	3.23
10	3.595
12	7.22
14	2.165
15	3.205
16	2.85
18	3.085
20	1.435
21	0.925
22	0.45
24	0.835
25	0.33
26	0.175
27	0.02
28	0.97
30	0.63
34	0.045
36	0.175
38	0.005
39	0.075
42	0.04
44	0.01
45	0.02
46	0.015
48	0.005
50	0.01
51	0.015
52	0.005
54	0.035
55	0.005
56	0.01
57	0.015
60	0.03
62	0.005
63	0.015
64	0.01
66	0.01
68	0.02
69	0.005
70	0.005
72	0.02
74	0.01
75	0.01
76	0.015
78	0.025
80	0.035
81	0.005
84	0.025
85	0.01
90	0.02
91	0.005
96	0.01
99	0.005
100	0.01
102	0.055
104	0.01
105	0.05
108	0.055
110	0.005
111	0.015
112	0.005
114	0.03
119	0.035
120	0.02
123	0.01
126	0.01
128	0.01
132	0.005
133	0.01
136	0.015
138	0.005
140	0.01
143	0.01
144	0.025
147	0.015
153	0.01
154	0.005
156	0.025
159	0.005
160	0.005
162	0.005
168	0.005
170	0.03
171	0.005
172	0.005
174	0.005
176	0.005
180	0.005
184	0.005
186	0.005
187	0.085
192	0.005
196	0.005
200	0.005
204	0.005
206	0.005
208	0.005
209	0.005
215	0.02
220	0.01
221	0.03
224	0.005
231	0.005
234	0.015
238	0.02
242	0.005
245	0.005
246	0.005
247	0.005
248	0.005
250	0.005
252	0.05
255	0.025
256	0.005
260	0.025
273	0.025
276	0.01
278	0.005
279	0.005
280	0.005
282	0.005
286	0.015
288	0.01
289	0.01
296	0.015
306	0.005
308	0.005
320	0.01
322	0.005
336	0.005
342	0.005
350	0.01
352	0.015
357	0.005
360	0.01
363	0.005
366	0.01
368	0.01
372	0.005
374	0.005
375	0.005
378	0.025
396	0.02
399	0.005
400	0.01
402	0.005
403	0.005
405	0.005
416	0.005
420	0.005
429	0.005
432	0.01
442	0.005
448	0.03
473	0.005
476	0.015
480	0.02
492	0.005
496	0.005
512	0.01
516	0.005
528	0.005
544	0.01
558	0.01
564	0.005
578	0.025
585	0.005
592	0.005
594	0.005
600	0.01
603	0.005
608	0.03
610	0.065
612	0.08
615	0.005
616	0.005
618	0.005
620	0.005
621	0.005
624	0.005
627	0.01
630	0.015
650	0.02
656	0.005
676	0.005
688	0.01
720	0.01
726	0.005
744	0.005
752	0.005
768	0.005
798	0.005
800	0.005
806	0.005
816	0.005
825	0.005
832	0.005
848	0.01
850	0.01
858	0.01
880	0.005
912	0.09
915	0.055
944	0.01
952	0.01
959	0.005
960	0.005
976	0.005
990	0.005
1014	0.005
1024	0.01
1056	0.005
1072	0.01
1120	0.005
1136	0.005
1150	0.01
1152	0.01
1168	0.005
1170	0.005
1185	0.005
1190	0.005
1197	0.005
1200	0.015
1206	0.005
1216	0.01
1220	0.09
1250	0.01
1280	0.005
1296	0.005
1302	0.005
1344	0.01
1351	0.005
1360	0.005
1435	0.005
1463	0.005
1472	0.005
1484	0.005
1488	0.015
1515	0.005
1520	0.005
1544	0.005
1545	0.005
1552	0.005
1554	0.005
1580	0.005
1584	0.005
1600	0.01
1617	0.035
1632	0.01
1760	0.005
1818	0.025
1824	0.005
1872	0.005
1896	0.005
1904	0.015
1908	0.005
1920	0.005
1935	0.005
1968	0.005
2002	0.005
2016	0.005
2040	0.005
2128	0.095
2176	0.005
2200	0.01
2272	0.005
2288	0.01
2368	0.005
2400	0.01
2416	0.005
2424	0.02
2432	0.005
2480	0.005
2512	0.01
2592	0.005
2608	0.005
2688	0.005
2720	0.005
2724	0.005
2727	0.03
2832	0.01
2928	0.005
2944	0.005
2960	0.005
3088	0.005
3120	0.005
3192	0.005
3200	0.015
3206	0.005
3216	0.02
3312	0.005
3322	0.02
3376	0.005
3408	0.005
3440	0.01
3600	0.02
3624	0.005
3636	0.015
3664	0.005
3680	0.005
3792	0.005
3824	0.005
3856	0.005
3952	0.005
4016	0.005
4080	0.005
4242	0.145
4496	0.015
4528	0.015
4560	0.005
4656	0.005
4832	0.145
